Tööga hõivatud isikute arv,Tegevusala,Näitaja,Value,Tegevusala (EMTAK 2008),Turvalisus,Value
Kokku,"Põllumajandus, metsamajandus ja kalapüük",IKT-spetsialistidega ettevõtted,0,"Põllumajandus, metsamajandus ja kalapüük",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,96.7
Kokku,Mäetööstus,IKT-spetsialistidega ettevõtted,6.4,Mäetööstus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,93.6
Kokku,Töötlev tööstus,IKT-spetsialistidega ettevõtted,13.8,Töötlev tööstus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,89.3
Kokku,Toiduainete ja jookide tootmine,IKT-spetsialistidega ettevõtted,9.4,Toiduainete- ja joogitootmine,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,88
Kokku,"Tekstiili- ja rõivatootmine, nahatöötlemine ning nahktoodete tootmine",IKT-spetsialistidega ettevõtted,11.9,"Tekstiili-, rõiva- ja nahatootmine",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,91.9
Kokku,"Puit- ja pabertoodete tootmine, trükindus ja paljundus",IKT-spetsialistidega ettevõtted,14.9,"Puidu, paberi tootmine ja trükindus",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,89.4
Kokku,"Nafta-, keemia-, farmaatsia-, kummi- ja plasttoodete tootmine; muude mittemetalsetest mineraalidest toodete tootmine",IKT-spetsialistidega ettevõtted,21.1,"Koksi, kemikaalide, põhifarmaatsiatoodete, kummi ja plasti ning mittemetalsetest mineraalidest toodete tootmine",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,92
Kokku,"Metallitootmine ja metalltoodete tootmine, v.a masinad ja seadmed",IKT-spetsialistidega ettevõtted,8.6,Metalli ja metalltoodete tootmine,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,94
Kokku,"Arvutite, elektroonika- ja optikaseadmete tootmine",IKT-spetsialistidega ettevõtted,54.1,"Arvutite, elektroonika- ja optikaseadmete tootmine",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,86.1
Kokku,Elektriseadmete- ning mujal liigitamata masinate ja seadmete tootmine,IKT-spetsialistidega ettevõtted,17.7,"Elektriseadmete-, mujal liigitamata masinate ja seadmete tootmine",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,88.5
Kokku,"Mootorsõidukite, haagiste ja poolhaagiste ning muude transpordivahendite tootmine",IKT-spetsialistidega ettevõtted,14.5,Mootorsõidukite ja muude transpordivahendite tootmine,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,85.7
Kokku,"Mööblitootmine; väärisesemete, muusikariistade ja mänguasjade tootmine; masinate ja seadmete remont ja paigaldus",IKT-spetsialistidega ettevõtted,9.5,Mööblitootmine ja muu tootmine ning masinate ja seadmete remont ja paigaldus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,82.9
Kokku,"Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",IKT-spetsialistidega ettevõtted,27.2,"Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,95.6
Kokku,Veevarustus; kanalisatsioon; jäätme- ja saastekäitlus,IKT-spetsialistidega ettevõtted,17.8,Veevarustus; kanalisatsioon; jäätme- ja saastekäitlus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,86.5
Kokku,Ehitus,IKT-spetsialistidega ettevõtted,5.9,Ehitus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,93.3
Kokku,Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont,IKT-spetsialistidega ettevõtted,15.1,Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,88.6
Kokku,Veondus ja laondus,IKT-spetsialistidega ettevõtted,12.1,Veondus ja laondus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,93.1
Kokku,Majutus ja toitlustus,IKT-spetsialistidega ettevõtted,4.2,Majutus ja toitlustus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,93.5
Kokku,Info- ja sidetehnoloogia kokku,IKT-spetsialistidega ettevõtted,84.2,Info- ja kommunikatsioonitehnoloogia sektor,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,77.8
Kokku,Info ja side,IKT-spetsialistidega ettevõtted,75.4,Info ja side,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,80.5
Kokku,Finants- ja kindlustustegevus,IKT-spetsialistidega ettevõtted,46.1,Finants- ja kindlustustegevus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,77.9
Kokku,Kinnisvaraalane tegevus,IKT-spetsialistidega ettevõtted,3.9,Kinnisvaraalane tegevus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,99.2
Kokku,"Kutse-, teadus- ja tehnikaalane tegevus",IKT-spetsialistidega ettevõtted,20.1,"Kutse-, teadus- ja tehnikaalane tegevus",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,90.6
Kokku,Haldus- ja abitegevused,IKT-spetsialistidega ettevõtted,17.6,Haldus- ja abitegevused,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,91.7
Kokku,Haridus,IKT-spetsialistidega ettevõtted,16.6,Haridus,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,97.7
Kokku,Tervishoid ja sotsiaalhoolekanne,IKT-spetsialistidega ettevõtted,19.4,Tervishoid ja sotsiaalhoolekanne,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,85.9
Kokku,"Kunst, meelelahutus ja vaba aeg",IKT-spetsialistidega ettevõtted,24.8,"Kunst, meelelahutus ja vaba aeg",Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,96.1
Kokku,Muud teenindavad tegevused,IKT-spetsialistidega ettevõtted,1.5,Muud teenindavad tegevused,Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga,94.1
